SESSION-CRYPTO FIELD TAINT V9
Parser output semantic fields established by v8: session algorithm presence/value @ +0x118/+0x11c; session key-length presence/value @ +0x120/+0x128.
Goal: find copies/consumers of this exact four-offset signature in networking code and connect it to P2P constructors.

=== CRYPTO PARSER ENTRY (confirm output pointer) 0x7c088e4-0x7c08980 ===
0x7c088e4: stp       x29, x30, [sp, #-0x60]!
  ...
  0x7b5dc30: bl        #0x7b62878
  ...
  0x7b5dc7c: bl        #0x8b35290
  ...
  0x7b5dd34: bl        #0x2efa4dc
  ...
  0x7b5dd94: bl        #0x2efa56c
  ...
  0x7b5ddb0: bl        #0x7b60c00
  ...
  0x7b5de00: bl        #0x8b35310
  ...
  0x7b5de24: bl        #0x8b35320
  ...
  0x7b5de2c: bl        #0x8b382d0
  0x7b5de30: bl        #0x8b35290
  ...
  0x7b5de90: bl        #0x7b629b8
  ...
  0x7b5dedc: bl        #0x8b35290
  ...
  0x7b5df94: bl        #0x2efa4dc
  ...
  0x7b5dff4: bl        #0x2efa56c
  ...
  0x7b5e010: bl        #0x7b60c00
  ...
  0x7b5e060: bl        #0x8b35310
  ...
  0x7b5e084: bl        #0x8b35320
  ...
  0x7b5e08c: bl        #0x8b382d0
  0x7b5e090: bl        #0x8b35290
  ...
  0x7b5e0f0: bl        #0x7b62af8
  ...
  0x7b5e13c: bl        #0x8b35290
  ...
  0x7b5e1f4: bl        #0x2efa4dc
  ...
  0x7b5e254: bl        #0x2efa56c
  ...
  0x7b5e270: bl        #0x7b60c00
  ...
  0x7b5e2c0: bl        #0x8b35310
  ...
  0x7b5e2e4: bl        #0x8b35320
  ...
  0x7b5e2ec: bl        #0x8b382d0
  0x7b5e2f0: bl        #0x8b35290
  ...
  0x7b5e350: bl        #0x7b62c38
  ...
  0x7b5e39c: bl        #0x8b35290
  ...
  0x7b5e454: bl        #0x2efa4dc
  ...
  0x7b5e4b4: bl        #0x2efa56c
  ...
  0x7b5e4d0: bl        #0x7b60c00
  ...
  0x7b5e520: bl        #0x8b35310
  ...
  0x7b5e544: bl        #0x8b35320
  ...
  0x7b5e54c: bl        #0x8b382d0
  0x7b5e550: bl        #0x8b35290
  ...
  0x7b5e5b0: bl        #0x7b62d78
  ...
  0x7b5e5fc: bl        #0x8b35290
  ...
  0x7b5e6b4: bl        #0x2efa4dc
  ...
  0x7b5e714: bl        #0x2efa56c
  ...
  0x7b5e730: bl        #0x7b60c00
  ...
  0x7b5e780: bl        #0x8b35310
  ...
  0x7b5e7a4: bl        #0x8b35320
  ...
  0x7b5e7ac: bl        #0x8b382d0
  0x7b5e7b0: bl        #0x8b35290
  ...
  0x7b5e810: bl        #0x7b62eb8
  ...
  0x7b5e85c: bl        #0x8b35290
  ...
  0x7b5e914: bl        #0x2efa4dc
  ...
  0x7b5e974: bl        #0x2efa56c
  ...
  0x7b5e990: bl        #0x7b60c00
  ...
  0x7b5e9e0: bl        #0x8b35310
  ...
  0x7b5ea04: bl        #0x8b35320
  ...
  0x7b5ea0c: bl        #0x8b382d0
  0x7b5ea10: bl        #0x8b35290
  ...
  0x7b5ea70: bl        #0x7b62ff8
  ...
  0x7b5eabc: bl        #0x8b35290
  ...
  0x7b5eb74: bl        #0x2efa4dc
  ...
  0x7b5ebd4: bl        #0x2efa56c
  ...
  0x7b5ebf0: bl        #0x7b60c00
  ...
  0x7b5ec40: bl        #0x8b35310
  ...
  0x7b5ec64: bl        #0x8b35320
  ...
  0x7b5ec6c: bl        #0x8b382d0
  0x7b5ec70: bl        #0x8b35290
  ...
  0x7b5ecd0: bl        #0x7b63138
  ...
  0x7b5ed1c: bl        #0x8b35290
  ...
  0x7b5edd4: bl        #0x2efa4dc
  ...
  0x7b5ee34: bl        #0x2efa56c
  ...
  0x7b5ee50: bl        #0x7b60c00
  ...
  0x7b5eea0: bl        #0x8b35310
  ...
  0x7b5eec4: bl        #0x8b35320
  ...
  0x7b5eecc: bl        #0x8b382d0
  0x7b5eed0: bl        #0x8b35290
  ...
  0x7b5ef30: bl        #0x7b63278
  ...
  0x7b5ef7c: bl        #0x8b35290
  ...
  0x7b5f034: bl        #0x2efa4dc
  ...
  0x7b5f094: bl        #0x2efa56c
  ...
  0x7b5f0b0: bl        #0x7b60c00
  ...
  0x7b5f100: bl        #0x8b35310
  ...
  0x7b5f124: bl        #0x8b35320
  ...
  0x7b5f12c: bl        #0x8b382d0
  0x7b5f130: bl        #0x8b35290
  ...
  0x7b5f190: bl        #0x7b633b8
  ...
  0x7b5f1dc: bl        #0x8b35290
  ...
  0x7b5f294: bl        #0x2efa4dc
  ...
  0x7b5f2f4: bl        #0x2efa56c
  ...
  0x7b5f310: bl        #0x7b60c00
  ...
  0x7b5f360: bl        #0x8b35310
  ...
  0x7b5f384: bl        #0x8b35320
  ...
  0x7b5f38c: bl        #0x8b382d0
  0x7b5f390: bl        #0x8b35290
  ...
  0x7b5f3f0: bl        #0x7b634f8
  ...
  0x7b5f43c: bl        #0x8b35290
  ...
  0x7b5f4f4: bl        #0x2efa4dc
  ...
  0x7b5f554: bl        #0x2efa56c
  ...
  0x7b5f570: bl        #0x7b60c00
  ...
  0x7b5f5c0: bl        #0x8b35310
  ...
  0x7b5f5e4: bl        #0x8b35320
  ...
  0x7b5f5ec: bl        #0x8b382d0
  0x7b5f5f0: bl        #0x8b35290
  ...
  0x7b5f650: bl        #0x7b63638
  ...
  0x7b5f69c: bl        #0x8b35290
  ...
  0x7b5f754: bl        #0x2efa4dc
  ...
  0x7b5f7b4: bl        #0x2efa56c
  ...
  0x7b5f7d0: bl        #0x7b60c00
  ...
  0x7b5f820: bl        #0x8b35310
  ...
  0x7b5f844: bl        #0x8b35320
  ...
  0x7b5f84c: bl        #0x8b382d0
  0x7b5f850: bl        #0x8b35290
  ...
  0x7b5f8b0: bl        #0x7b63778
  ...
  0x7b5f8fc: bl        #0x8b35290
  ...
  0x7b5f9b4: bl        #0x2efa4dc
  ...
  0x7b5fa14: bl        #0x2efa56c
  ...
  0x7b5fa30: bl        #0x7b60c00
  ...
  0x7b5fa80: bl        #0x8b35310
  ...
  0x7b5faa4: bl        #0x8b35320
  ...
  0x7b5faac: bl        #0x8b382d0
  0x7b5fab0: bl        #0x8b35290
  ...
  0x7b5fb10: bl        #0x7b638b8
  ...
  0x7b5fb5c: bl        #0x8b35290
  ...
  0x7b5fc14: bl        #0x2efa4dc
  ...
  0x7b5fc74: bl        #0x2efa56c
  ...
  0x7b5fc90: bl        #0x7b60c00
  ...
  0x7b5fce0: bl        #0x8b35310
  ...
  0x7b5fd04: bl        #0x8b35320
  ...
  0x7b5fd0c: bl        #0x8b382d0
  0x7b5fd10: bl        #0x8b35290
  ...
  0x7b5fd70: bl        #0x7b639f8
  ...
  0x7b5fdbc: bl        #0x8b35290
  ...
  0x7b5fe74: bl        #0x2efa4dc
  ...
  0x7b5fed4: bl        #0x2efa56c
  ...
  0x7b5fef0: bl        #0x7b60c00
  ...
  0x7b5ff40: bl        #0x8b35310
  ...
  0x7b5ff64: bl        #0x8b35320
  ...
  0x7b5ff6c: bl        #0x8b382d0
  0x7b5ff70: bl        #0x8b35290
  ...
  0x7b5ffd0: bl        #0x7b63b38
  ...
  0x7b6001c: bl        #0x8b35290
  ...
  0x7b600d4: bl        #0x2efa4dc
  ...
  0x7b60134: bl        #0x2efa56c
  ...
  0x7b60150: bl        #0x7b60c00
  ...
  0x7b601a0: bl        #0x8b35310
  ...
  0x7b601c4: bl        #0x8b35320
  ...
  0x7b601cc: bl        #0x8b382d0
  0x7b601d0: bl        #0x8b35290
  ...
  0x7b60230: bl        #0x7b63c78
  ...
  0x7b6027c: bl        #0x8b35290
  ...
  0x7b60334: bl        #0x2efa4dc
  ...
  0x7b60394: bl        #0x2efa56c
  ...
  0x7b603b0: bl        #0x7b60c00
  ...
  0x7b60400: bl        #0x8b35310
  ...
  0x7b60424: bl        #0x8b35320
  ...
  0x7b6042c: bl        #0x8b382d0
  0x7b60430: bl        #0x8b35290
  ...
  0x7b60490: bl        #0x7b63db8
  ...
  0x7b604dc: bl        #0x8b35290
  ...
  0x7b60594: bl        #0x2efa4dc
  ...
  0x7b605f4: bl        #0x2efa56c
  ...
  0x7b60610: bl        #0x7b60c00
  ...
  0x7b60660: bl        #0x8b35310
  ...
  0x7b60684: bl        #0x8b35320
  ...
  0x7b6068c: bl        #0x8b382d0
  0x7b60690: bl        #0x8b35290
  ...
  0x7b606f0: bl        #0x7b63ef8
  ...
  0x7b6073c: bl        #0x8b35290
  ...
  0x7b607f4: bl        #0x2efa4dc
  ...
  0x7b60854: bl        #0x2efa56c
  ...
  0x7b60870: bl        #0x7b60c00
  ...
  0x7b608c0: bl        #0x8b35310
  ...
  0x7b608e4: bl        #0x8b35320
  ...
  0x7b608ec: bl        #0x8b382d0
  0x7b608f0: bl        #0x8b35290
  ...
  0x7b60950: bl        #0x7b64038
  ...
  0x7b6099c: bl        #0x8b35290
  ...
  0x7b60a54: bl        #0x2efa4dc
  ...
  0x7b60ab4: bl        #0x2efa56c
  ...
  0x7b60ad0: bl        #0x7b60c00
  ...
  0x7b60b20: bl        #0x8b35310
  ...
  0x7b60b44: bl        #0x8b35320
  ...
  0x7b60b4c: bl        #0x8b382d0
  0x7b60b50: bl        #0x8b35290
  ...
  0x7b60bb0: bl        #0x7b64178
  ...
  0x7b60bfc: bl        #0x8b35290

-- fn 0x7b69720-0x7b69dfc base=x20 offsets=['0x118', '0x11c', '0x120', '0x128'] --
  ...
  0x7b6974c: bl        #0x7b6f528
  ...
  0x7b69764: bl        #0x7b69498
  ...
  0x7b697f0: bl        #0x7b6c4b8
  ...
  0x7b69844: bl        #0x2efa4dc
  ...
  0x7b698d0: bl        #0x2f0caa0
  ...
  0x7b699e4: strb      w8, [x20, #0x100]
  0x7b699e8: ldr       d0, [x19, #0xe0]
  0x7b699ec: str       d0, [x20, #0x108]
  0x7b699f0: ldrb      w8, [x19, #0xe8]
  0x7b699f4: strb      w8, [x20, #0x110]
  0x7b699f8: ldr       w8, [x19, #0xec]
  0x7b699fc: str       w8, [x20, #0x114]
  0x7b69a00: ldrb      w8, [x19, #0xf0]
  0x7b69a04: strb      w8, [x20, #0x118]
  0x7b69a08: ldr       w8, [x19, #0xf4]
  0x7b69a0c: str       w8, [x20, #0x11c]
  0x7b69a10: ldrb      w8, [x19, #0xf8]
  0x7b69a14: strb      w8, [x20, #0x120]
  0x7b69a18: ldr       w8, [x19, #0xfc]
  0x7b69a1c: str       w8, [x20, #0x124]
  0x7b69a20: ldrb      w8, [x19, #0x100]
  0x7b69a24: strb      w8, [x20, #0x128]
  0x7b69a28: ldr       d0, [x19, #0x108]
  0x7b69a2c: str       d0, [x20, #0x130]
  0x7b69a30: ldrb      w8, [x19, #0x110]
  0x7b69a34: strb      w8, [x20, #0x138]
  0x7b69a38: ldr       d0, [x19, #0x118]
  0x7b69a3c: str       d0, [x20, #0x140]
  0x7b69a40: ldrb      w8, [x19, #0x120]
  0x7b69a44: strb      w8, [x20, #0x148]
  0x7b69a48: ldr       w8, [x19, #0x124]
  0x7b69a4c: str       w8, [x20, #0x14c]
  0x7b69a50: ldrb      w8, [x19, #0x128]
  0x7b69a54: strb      w8, [x20, #0x150]
  ...
  0x7b69ab0: bl        #0x8b35290
  ...
  0x7b69b04: bl        #0x7b6f528
  ...
  0x7b69ba4: bl        #0x7b736b4
  ...
  0x7b69bcc: bl        #0x7b6c4b8
  ...
  0x7b69c48: bl        #0x7b6f798
  ...
  0x7b69c60: bl        #0x7b8ab78
  ...
  0x7b69c84: bl        #0x7b6c4b8
  ...
  0x7b69d08: bl        #0x7b6f798
  ...
  0x7b69d68: bl        #0x7b783a8
  ...
  0x7b69d80: bl        #0x7b697ac
  ...
  0x7b69d98: bl        #0x7b6151c
  ...
  0x7b69dec: bl        #0x7b6c74c
  ...
  0x7b69df8: bl        #0x8b35290

-- fn 0x7b69720-0x7b69dfc base=x19 offsets=['0x118', '0x120', '0x128'] --
  ...
  0x7b6974c: bl        #0x7b6f528
  ...
  0x7b69764: bl        #0x7b69498
  ...
  0x7b697f0: bl        #0x7b6c4b8
  ...
  0x7b69844: bl        #0x2efa4dc
  ...
  0x7b698d0: bl        #0x2f0caa0
  ...
  0x7b69a18: ldr       w8, [x19, #0xfc]
  0x7b69a1c: str       w8, [x20, #0x124]
  0x7b69a20: ldrb      w8, [x19, #0x100]
  0x7b69a24: strb      w8, [x20, #0x128]
  0x7b69a28: ldr       d0, [x19, #0x108]
  0x7b69a2c: str       d0, [x20, #0x130]
  0x7b69a30: ldrb      w8, [x19, #0x110]
  0x7b69a34: strb      w8, [x20, #0x138]
  0x7b69a38: ldr       d0, [x19, #0x118]
  0x7b69a3c: str       d0, [x20, #0x140]
  0x7b69a40: ldrb      w8, [x19, #0x120]
  0x7b69a44: strb      w8, [x20, #0x148]
  0x7b69a48: ldr       w8, [x19, #0x124]
  0x7b69a4c: str       w8, [x20, #0x14c]
  0x7b69a50: ldrb      w8, [x19, #0x128]
  0x7b69a54: strb      w8, [x20, #0x150]
  0x7b69a58: ldr       w8, [x19, #0x12c]
  0x7b69a5c: str       w8, [x20, #0x154]
  0x7b69a60: ldrb      w8, [x19, #0x130]
  0x7b69a64: strb      w8, [x20, #0x158]
  0x7b69a68: ldr       x8, [x19, #0x138]
  0x7b69a6c: str       x8, [x20, #0x160]
  0x7b69a70: ldrb      w8, [x19, #0x140]
  0x7b69a74: strb      w8, [x20, #0x168]
  0x7b69a78: ldr       x8, [x19, #0x148]
  0x7b69a7c: str       x8, [x20, #0x170]
  0x7b69a80: ldr       x8, [x22, #0x28]
  ...
  0x7b69ab0: bl        #0x8b35290
  ...
  0x7b69b04: bl        #0x7b6f528
  ...
  0x7b69ba4: bl        #0x7b736b4
  ...
  0x7b69bcc: bl        #0x7b6c4b8
  ...
  0x7b69c48: bl        #0x7b6f798
  ...
  0x7b69c60: bl        #0x7b8ab78
  ...
  0x7b69c84: bl        #0x7b6c4b8
  ...
  0x7b69d08: bl        #0x7b6f798
  ...
  0x7b69d68: bl        #0x7b783a8
  ...
  0x7b69d80: bl        #0x7b697ac
  ...
  0x7b69d98: bl        #0x7b6151c
  ...
  0x7b69dec: bl        #0x7b6c74c
  ...
  0x7b69df8: bl        #0x8b35290

-- fn 0x7b6ca9c-0x7b6d0f0 base=x1 offsets=['0x118', '0x120', '0x128'] --
  ...
  0x7b6cacc: bl        #0x2efb614
  ...
  0x7b6cb8c: bl        #0x7b6cba0
  ...
  0x7b6cc94: bl        #0x7b6cf3c
  ...
  0x7b6ccfc: bl        #0x2f0caa0
  ...
  0x7b6cdd8: bl        #0x7b61578
  ...
  0x7b6cdfc: bl        #0x7b61578
  ...
  0x7b6ce28: bl        #0x2efa4dc
  ...
  0x7b6ce40: bl        #0x8b35300
  ...
  0x7b6cea8: bl        #0x2f0caa0
  ...
  0x7b6cf38: bl        #0x8b35290
  ...
  0x7b6d060: str       x9, [x8, #0x88]
  0x7b6d064: ldrb      w9, [x1, #0x100]
  0x7b6d068: strb      w10, [x8, #0xd8]
  0x7b6d06c: ldr       d0, [x1, #0xd8]
  0x7b6d070: strb      w11, [x8, #0x80]
  0x7b6d074: ldr       w11, [x1, #0x104]
  0x7b6d078: strb      w9, [x8, #0xf8]
  0x7b6d07c: ldrb      w9, [x1, #0x108]
  0x7b6d080: ldrb      w10, [x1, #0x128]
  0x7b6d084: str       d0, [x8, #0xd0]
  0x7b6d088: ldr       d0, [x1, #0xe8]
  0x7b6d08c: str       w11, [x8, #0xfc]
  0x7b6d090: strb      w9, [x8, #0x100]
  0x7b6d094: ldr       w11, [x1, #0x12c]
  0x7b6d098: strb      w10, [x8, #0x120]
  0x7b6d09c: ldrb      w9, [x1, #0x118]
  0x7b6d0a0: ldrb      w10, [x1, #0x130]
  0x7b6d0a4: str       d0, [x8, #0xe0]
  0x7b6d0a8: ldr       d0, [x1, #0x110]
  0x7b6d0ac: str       w11, [x8, #0x124]
  0x7b6d0b0: strb      w9, [x8, #0x110]
  0x7b6d0b4: ldrb      w9, [x1, #0x138]
  0x7b6d0b8: strb      w10, [x8, #0x128]
  0x7b6d0bc: ldr       x10, [x1, #0x140]
  0x7b6d0c0: str       d0, [x8, #0x108]
  0x7b6d0c4: ldr       w11, [x1, #0x134]
  0x7b6d0c8: strb      w9, [x8, #0x130]
  0x7b6d0cc: ldr       d0, [x1, #0x120]
  0x7b6d0d0: str       x10, [x8, #0x138]
  0x7b6d0d4: ldrb      w9, [x1, #0x148]
  0x7b6d0d8: ldr       x10, [x1, #0x150]
  0x7b6d0dc: str       w11, [x8, #0x12c]
  0x7b6d0e0: str       d0, [x8, #0x118]
  0x7b6d0e4: strb      w9, [x8, #0x140]
  0x7b6d0e8: str       x10, [x8, #0x148]
  0x7b6d0ec: ret       

-- fn 0x7b6ca9c-0x7b6d0f0 base=x8 offsets=['0x118', '0x120', '0x128'] --
  ...
  0x7b6cacc: bl        #0x2efb614
  ...
  0x7b6cb8c: bl        #0x7b6cba0
  ...
  0x7b6cc94: bl        #0x7b6cf3c
  ...
  0x7b6ccfc: bl        #0x2f0caa0
  ...
  0x7b6cdd8: bl        #0x7b61578
  ...
  0x7b6cdfc: bl        #0x7b61578
  ...
  0x7b6ce28: bl        #0x2efa4dc
  ...
  0x7b6ce40: bl        #0x8b35300
  ...
  0x7b6cea8: bl        #0x2f0caa0
  ...
  0x7b6cf38: bl        #0x8b35290
  ...
  0x7b6d078: strb      w9, [x8, #0xf8]
  0x7b6d07c: ldrb      w9, [x1, #0x108]
  0x7b6d080: ldrb      w10, [x1, #0x128]
  0x7b6d084: str       d0, [x8, #0xd0]
  0x7b6d088: ldr       d0, [x1, #0xe8]
  0x7b6d08c: str       w11, [x8, #0xfc]
  0x7b6d090: strb      w9, [x8, #0x100]
  0x7b6d094: ldr       w11, [x1, #0x12c]
  0x7b6d098: strb      w10, [x8, #0x120]
  0x7b6d09c: ldrb      w9, [x1, #0x118]
  0x7b6d0a0: ldrb      w10, [x1, #0x130]
  0x7b6d0a4: str       d0, [x8, #0xe0]
  0x7b6d0a8: ldr       d0, [x1, #0x110]
  0x7b6d0ac: str       w11, [x8, #0x124]
  0x7b6d0b0: strb      w9, [x8, #0x110]
  0x7b6d0b4: ldrb      w9, [x1, #0x138]
  0x7b6d0b8: strb      w10, [x8, #0x128]
  0x7b6d0bc: ldr       x10, [x1, #0x140]
  0x7b6d0c0: str       d0, [x8, #0x108]
  0x7b6d0c4: ldr       w11, [x1, #0x134]
  0x7b6d0c8: strb      w9, [x8, #0x130]
  0x7b6d0cc: ldr       d0, [x1, #0x120]
  0x7b6d0d0: str       x10, [x8, #0x138]
  0x7b6d0d4: ldrb      w9, [x1, #0x148]
  0x7b6d0d8: ldr       x10, [x1, #0x150]
  0x7b6d0dc: str       w11, [x8, #0x12c]
  0x7b6d0e0: str       d0, [x8, #0x118]
  0x7b6d0e4: strb      w9, [x8, #0x140]
  0x7b6d0e8: str       x10, [x8, #0x148]
  0x7b6d0ec: ret       

-- fn 0x7b78234-0x7b78e28 base=x19 offsets=['0x118', '0x120', '0x128'] --
  ...
  0x7b782d8: bl        #0x7b339c4
  ...
  0x7b786d4: bl        #0x7b339c4
  ...
  0x7b78750: bl        #0x7b339c4
  ...
  0x7b787d0: bl        #0x7b339c4
  ...
  0x7b78840: bl        #0x7b339c4
  ...
  0x7b788e0: bl        #0x7b339c4
  ...
  0x7b78948: bl        #0x7b339c4
  ...
  0x7b78b50: bl        #0x7b339c4
  ...
  0x7b78bac: bl        #0x7b339c4
  ...
  0x7b78d48: str       w21, [x19, #0xfc]
  0x7b78d4c: strb      w17, [x19, #0x80]
  0x7b78d50: ldr       x17, [sp, #0x58]
  0x7b78d54: strb      w22, [x19, #0x100]
  0x7b78d58: str       d13, [x19, #0x108]
  0x7b78d5c: str       x17, [x19, #0x88]
  0x7b78d60: ldr       w17, [sp, #0x64]
  0x7b78d64: strb      w8, [x19, #0x110]
  0x7b78d68: str       d8, [x19, #0x118]
  0x7b78d6c: strb      w17, [x19, #0x90]
  0x7b78d70: ldr       w17, [sp, #0x54]
  0x7b78d74: strb      w9, [x19, #0x120]
  0x7b78d78: str       w13, [x19, #0x124]
  0x7b78d7c: str       w17, [x19, #0x94]
  0x7b78d80: ldr       w17, [sp, #0x44]
  0x7b78d84: strb      w10, [x19, #0x128]
  0x7b78d88: str       w12, [x19, #0x12c]
  0x7b78d8c: strb      w17, [x19, #0x98]
  0x7b78d90: ldr       w17, [sp, #0x48]
  0x7b78d94: strb      w11, [x19, #0x130]
  0x7b78d98: str       x14, [x19, #0x138]
  0x7b78d9c: str       w17, [x19, #0x9c]
  0x7b78da0: ldur      w17, [x29, #-0x3c]
  0x7b78da4: strb      w16, [x19, #0x140]
  0x7b78da8: str       x15, [x19, #0x148]
  0x7b78dac: strb      w17, [x19, #0xa0]
  0x7b78db0: ldur      w17, [x29, #-0x40]
  0x7b78db4: str       w17, [x19, #0xa4]

-- fn 0x7b78f94-0x7b790cc base=x19 offsets=['0x118', '0x120', '0x128'] --
  ...
  0x7b78fe4: bl        #0x7b30610
  ...
  0x7b79018: stp       xzr, xzr, [x19, #0xb8]
  0x7b7901c: str       xzr, [x19, #0xc8]
  0x7b79020: str       wzr, [x19, #0xf4]
  0x7b79024: strb      wzr, [x19, #0xf8]
  0x7b79028: str       wzr, [x19, #0xfc]
  0x7b7902c: strb      wzr, [x19, #0x100]
  0x7b79030: str       xzr, [x19, #0x108]
  0x7b79034: strb      wzr, [x19, #0x110]
  0x7b79038: str       xzr, [x19, #0x118]
  0x7b7903c: stp       xzr, xzr, [x19, #0xe0]
  0x7b79040: str       xzr, [x19, #0xd8]
  0x7b79044: strb      wzr, [x19, #0xf0]
  0x7b79048: cbz       x1, #0x7b79054
  0x7b7904c: bl        #0x7b30610
  0x7b79050: b         #0x7b7905c
  0x7b79054: mov       w8, #1
  0x7b79058: strb      w8, [x0]
  0x7b7905c: movi      v0.2d, #0000000000000000
  0x7b79060: add       x8, x19, #0x170
  0x7b79064: strb      wzr, [x19, #0x120]
  0x7b79068: str       xzr, [x19, #0x128]
  0x7b7906c: strb      wzr, [x19, #0x130]
  0x7b79070: str       xzr, [x19, #0x138]
  0x7b79074: strb      wzr, [x19, #0x140]
  0x7b79078: str       xzr, [x19, #0x148]
  0x7b7907c: strb      wzr, [x19, #0x150]
  0x7b79080: str       xzr, [x19, #0x158]
  0x7b79084: strb      wzr, [x19, #0x160]
  0x7b79088: str       xzr, [x19, #0x168]
  0x7b7908c: strb      wzr, [x19, #0x170]
  0x7b79090: str       wzr, [x19, #0x19c]
  0x7b79094: strb      wzr, [x19, #0x1a0]
  0x7b79098: str       wzr, [x19, #0x1a4]

-- fn 0x7b79c08-0x7b79e94 base=x20 offsets=['0x118', '0x120', '0x128'] --
  ...
  0x7b79c3c: bl        #0x2efa56c
  ...
  0x7b79c74: bl        #0x2efa56c
  ...
  0x7b79d14: bl        #0x2efa56c
  ...
  0x7b79d40: stur      x9, [x22, #-8]
  0x7b79d44: cbz       x0, #0x7b79d58
  0x7b79d48: str       x0, [x19, #0xe0]
  0x7b79d4c: bl        #0x2efa56c
  0x7b79d50: stp       xzr, xzr, [x22]
  0x7b79d54: str       xzr, [x22, #0x10]
  0x7b79d58: ldur      q0, [x20, #0xd8]
  0x7b79d5c: mov       x0, x19
  0x7b79d60: ldr       x10, [x20, #0x128]
  0x7b79d64: ldr       w9, [x20, #0xf4]
  0x7b79d68: stur      q0, [x19, #0xd8]
  0x7b79d6c: ldr       d0, [x20, #0x108]
  0x7b79d70: ldr       x8, [x20, #0xe8]
  0x7b79d74: str       x8, [x19, #0xe8]
  0x7b79d78: ldrb      w8, [x20, #0xf0]
  0x7b79d7c: stp       xzr, xzr, [x20, #0xe0]
  0x7b79d80: str       xzr, [x20, #0xd8]
  0x7b79d84: strb      w8, [x19, #0xf0]
  0x7b79d88: ldrb      w8, [x20, #0xf8]
  0x7b79d8c: str       x10, [x19, #0x128]
  0x7b79d90: str       w9, [x19, #0xf4]
  0x7b79d94: ldr       x10, [x20, #0x138]
  0x7b79d98: ldr       w9, [x20, #0xfc]
  0x7b79d9c: str       d0, [x19, #0x108]
  0x7b79da0: strb      w8, [x19, #0xf8]
  0x7b79da4: ldr       d0, [x20, #0x118]
  0x7b79da8: ldrb      w8, [x20, #0x100]
  0x7b79dac: str       x10, [x19, #0x138]
  0x7b79db0: str       w9, [x19, #0xfc]
  0x7b79db4: ldr       x10, [x20, #0x148]
  0x7b79db8: ldr       w9, [x20, #0x174]
  0x7b79dbc: str       d0, [x19, #0x118]
  0x7b79dc0: strb      w8, [x19, #0x100]
  0x7b79dc4: ldr       d0, [x20, #0x180]
  0x7b79dc8: ldrb      w8, [x20, #0x110]
  0x7b79dcc: str       x10, [x19, #0x148]
  0x7b79dd0: str       w9, [x19, #0x174]
  0x7b79dd4: ldr       x10, [x20, #0x158]
  0x7b79dd8: ldr       w9, [x20, #0x19c]
  0x7b79ddc: str       d0, [x19, #0x180]
  0x7b79de0: strb      w8, [x19, #0x110]
  0x7b79de4: ldr       d0, [x20, #0x190]
  0x7b79de8: ldrb      w8, [x20, #0x120]
  0x7b79dec: str       x10, [x19, #0x158]
  0x7b79df0: str       w9, [x19, #0x19c]
  0x7b79df4: ldr       x10, [x20, #0x168]
  0x7b79df8: ldr       w9, [x20, #0x1a4]
  0x7b79dfc: str       d0, [x19, #0x190]
  0x7b79e00: strb      w8, [x19, #0x120]
  0x7b79e04: ldrb      w8, [x20, #0x130]
  0x7b79e08: str       x10, [x19, #0x168]
  0x7b79e0c: str       w9, [x19, #0x1a4]
  0x7b79e10: ldr       w9, [x20, #0x1ac]
  0x7b79e14: strb      w8, [x19, #0x130]
  0x7b79e18: ldrb      w8, [x20, #0x140]

-- fn 0x7b79c08-0x7b79e94 base=x19 offsets=['0x118', '0x120', '0x128'] --
  ...
  0x7b79c3c: bl        #0x2efa56c
  ...
  0x7b79c74: bl        #0x2efa56c
  ...
  0x7b79d14: bl        #0x2efa56c
  ...
  0x7b79d4c: bl        #0x2efa56c
  ...
  0x7b79d6c: ldr       d0, [x20, #0x108]
  0x7b79d70: ldr       x8, [x20, #0xe8]
  0x7b79d74: str       x8, [x19, #0xe8]
  0x7b79d78: ldrb      w8, [x20, #0xf0]
  0x7b79d7c: stp       xzr, xzr, [x20, #0xe0]
  0x7b79d80: str       xzr, [x20, #0xd8]
  0x7b79d84: strb      w8, [x19, #0xf0]
  0x7b79d88: ldrb      w8, [x20, #0xf8]
  0x7b79d8c: str       x10, [x19, #0x128]
  0x7b79d90: str       w9, [x19, #0xf4]
  0x7b79d94: ldr       x10, [x20, #0x138]
  0x7b79d98: ldr       w9, [x20, #0xfc]
  0x7b79d9c: str       d0, [x19, #0x108]
  0x7b79da0: strb      w8, [x19, #0xf8]
  0x7b79da4: ldr       d0, [x20, #0x118]
  0x7b79da8: ldrb      w8, [x20, #0x100]
  0x7b79dac: str       x10, [x19, #0x138]
  0x7b79db0: str       w9, [x19, #0xfc]
  0x7b79db4: ldr       x10, [x20, #0x148]
  0x7b79db8: ldr       w9, [x20, #0x174]
  0x7b79dbc: str       d0, [x19, #0x118]
  0x7b79dc0: strb      w8, [x19, #0x100]
  0x7b79dc4: ldr       d0, [x20, #0x180]
  0x7b79dc8: ldrb      w8, [x20, #0x110]
  0x7b79dcc: str       x10, [x19, #0x148]
  0x7b79dd0: str       w9, [x19, #0x174]
  0x7b79dd4: ldr       x10, [x20, #0x158]
  0x7b79dd8: ldr       w9, [x20, #0x19c]
  0x7b79ddc: str       d0, [x19, #0x180]
  0x7b79de0: strb      w8, [x19, #0x110]
  0x7b79de4: ldr       d0, [x20, #0x190]
